,Unnamed: 1,browserbite-dt-external-k3
1,,1.0
2,,0.9824561403508771
3,,0.3157894736842105
4,,0.6190476190476191
5,,0.17777777777777776
6,,0.38095238095238093
7,,0.10526315789473684
8,,0.4313725490196079
9,,0.3478260869565218
10,,0.2580645161290323
