,Unnamed: 1,browserbite-dt-external-k3,browserbite-randomforest-external-k3,browserbite-svm-external-k3,browserbite-nn-external-k3,crosscheck-dt-external-k3,crosscheck-randomforest-external-k3,crosscheck-svm-external-k3,crosscheck-nn-external-k3,browserninja1-dt-external-k3,browserninja1-randomforest-external-k3,browserninja1-svm-external-k3,browserninja1-nn-external-k3,browserninja2-dt-external-k3,browserninja2-randomforest-external-k3,browserninja2-svm-external-k3,browserninja2-nn-external-k3,browserninja3-dt-external-k3,browserninja3-randomforest-external-k3,browserninja3-svm-external-k3,browserninja3-nn-external-k3
1,,0.7948717948717948,0.8205128205128205,0.8461538461538461,0.8461538461538461,0.9230769230769232,0.8205128205128205,0.7435897435897436,0.7435897435897436,0.9487179487179488,0.9487179487179488,0.8974358974358975,0.9487179487179488,0.9487179487179488,0.9487179487179488,0.5897435897435898,0.9487179487179488,0.9487179487179488,0.9487179487179488,0.7692307692307693,0.7435897435897436
2,,0.5,0.6428571428571429,0.32142857142857145,0.6071428571428571,0.75,0.75,0.03571428571428571,0.6071428571428571,0.9285714285714286,0.8571428571428571,0.8928571428571429,0.9285714285714286,0.9285714285714286,0.9642857142857144,0.8214285714285714,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.7857142857142857
3,,0.5189873417721519,0.620253164556962,0.3037974683544304,0.4810126582278481,0.3797468354430379,0.35443037974683544,0.12658227848101267,0.2531645569620253,0.6075949367088608,0.7088607594936709,0.6835443037974683,0.6835443037974683,0.7215189873417721,0.5949367088607594,0.6835443037974683,0.6835443037974683,0.7341772151898734,0.6455696202531646,0.6708860759493671,0.6962025316455697
4,,0.631578947368421,0.4736842105263158,0.21052631578947367,0.4736842105263158,0.7368421052631579,0.7894736842105263,0.8421052631578947,0.15789473684210525,0.8421052631578947,0.9473684210526316,0.9473684210526316,0.9473684210526316,1.0,0.8421052631578947,0.9473684210526316,1.0,1.0,1.0,0.7894736842105263,0.7894736842105263
5,,0.5454545454545454,0.6363636363636364,0.4848484848484849,0.6363636363636364,0.696969696969697,0.696969696969697,0.3333333333333333,0.15151515151515152,0.7272727272727273,0.7575757575757576,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.7575757575757576,0.6363636363636364,0.7272727272727273,0.6666666666666666,0.7575757575757576,0.6363636363636364,0.6060606060606061
6,,0.5981308411214953,0.8411214953271028,0.5700934579439252,0.5981308411214953,0.616822429906542,0.6728971962616822,0.485981308411215,0.4299065420560748,0.6448598130841121,0.9065420560747663,0.7196261682242991,0.9252336448598132,0.8971962616822429,0.9065420560747663,0.6635514018691588,0.8130841121495327,0.9626168224299064,0.8037383177570093,0.8691588785046729,0.6448598130841121
7,,0.7222222222222222,0.3888888888888889,0.2777777777777778,0.5370370370370371,0.4074074074074074,0.5,0.5370370370370371,0.35185185185185186,0.7037037037037037,0.6111111111111112,0.6296296296296297,0.5925925925925926,0.6851851851851852,0.7037037037037037,0.6481481481481481,0.6851851851851852,0.7407407407407407,0.6111111111111112,0.6296296296296297,0.7037037037037037
8,,0.6266666666666667,0.6,0.5066666666666667,0.56,0.5066666666666667,0.38666666666666666,0.18666666666666668,0.2933333333333333,0.84,0.8666666666666667,0.6533333333333333,0.8666666666666667,0.8533333333333334,0.84,0.7866666666666666,0.8133333333333334,0.9466666666666668,0.8,0.8933333333333333,0.6266666666666667
9,,0.5915492957746479,0.8450704225352113,0.5211267605633803,0.4788732394366197,0.5211267605633803,0.5070422535211268,0.30985915492957744,0.28169014084507044,0.8028169014084507,0.8309859154929577,0.676056338028169,0.9014084507042254,0.9154929577464788,0.8309859154929577,0.8028169014084507,0.8591549295774648,0.9154929577464788,0.8450704225352113,0.8169014084507042,0.5915492957746479
10,,0.75,0.76,0.69,0.69,0.65,0.67,0.37,0.48,0.85,0.88,0.79,0.95,0.9,0.9,0.72,0.89,0.96,0.9,0.87,0.84
