@RELATION browserninja.website

@ATTRIBUTE URL STRING
@ATTRIBUTE id NUMERIC
@ATTRIBUTE tagName STRING
@ATTRIBUTE childsNumber NUMERIC
@ATTRIBUTE textLength NUMERIC
@ATTRIBUTE basePlatform STRING
@ATTRIBUTE targetPlatform STRING
@ATTRIBUTE baseBrowser STRING
@ATTRIBUTE targetBrowser STRING
@ATTRIBUTE baseDPI NUMERIC
@ATTRIBUTE targetDPI NUMERIC
@ATTRIBUTE baseScreenshot STRING
@ATTRIBUTE targetScreenshot STRING
@ATTRIBUTE baseX NUMERIC
@ATTRIBUTE targetX NUMERIC
@ATTRIBUTE baseY NUMERIC
@ATTRIBUTE targetY NUMERIC
@ATTRIBUTE baseHeight NUMERIC
@ATTRIBUTE targetHeight NUMERIC
@ATTRIBUTE baseWidth NUMERIC
@ATTRIBUTE targetWidth NUMERIC
@ATTRIBUTE baseParentX NUMERIC
@ATTRIBUTE targetParentX NUMERIC
@ATTRIBUTE baseParentY NUMERIC
@ATTRIBUTE targetParentY NUMERIC
@ATTRIBUTE imageDiff NUMERIC
@ATTRIBUTE chiSquared NUMERIC
@ATTRIBUTE baseDeviceWidth NUMERIC
@ATTRIBUTE targetDeviceWidth NUMERIC
@ATTRIBUTE baseViewportWidth NUMERIC
@ATTRIBUTE targetViewportWidth NUMERIC
@ATTRIBUTE xpath STRING
@ATTRIBUTE baseXpath STRING
@ATTRIBUTE targetXpath STRING
@ATTRIBUTE phash NUMERIC
@ATTRIBUTE basePreviousSiblingLeft NUMERIC
@ATTRIBUTE targetPreviousSiblingLeft NUMERIC
@ATTRIBUTE basePreviousSiblingTop NUMERIC
@ATTRIBUTE targetPreviousSiblingTop NUMERIC
@ATTRIBUTE baseNextSiblingLeft NUMERIC
@ATTRIBUTE targetNextSiblingLeft NUMERIC
@ATTRIBUTE baseNextSiblingTop NUMERIC
@ATTRIBUTE targetNextSiblingTop NUMERIC
@ATTRIBUTE baseTextNodes NUMERIC
@ATTRIBUTE targetTextNodes NUMERIC
@ATTRIBUTE baseFontFamily STRING
@ATTRIBUTE targetFontFamily STRING
@ATTRIBUTE Result {0, 1}

@DATA
http://wwatana.be/mobile/mobile/201602/04/1.html,90.0,DIV,0.0,19.0,'iOS 12.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/90.png,results/motog4/90.png,35.0,35.0,801.0,803.0,62.0,98.0,337.0,323.0,35.0,35.0,564.0,566.0,2782270.0,196399.6,750.0,1080.0,375.0,360.0,/body[2]/div[4]/div[1]/div[1]/div[1]/div[2],/body[2]/div[4]/div[1]/div[1]/div[1]/div[2],/body[2]/div[4]/div[1]/div[1]/div[1]/div[2],0.6,35.0,35.0,762.0,764.0,0.0,0.0,899.0,901.0,1.0,1.0,-webkit-standard,'Times New Roman',1
http://wwatana.be/mobile/mobile/201602/04/1.html,90.0,DIV,0.0,19.0,'iOS 12.1 - Safari -- iOS - iPhone 8','iOS 12.1 - Safari -- iOS - iPhoneSE',null,null,2.0,2.0,results/iphone8/90.png,results/iphonese/90.png,35.0,35.0,801.0,801.0,62.0,98.0,337.0,287.0,35.0,35.0,564.0,564.0,3172232.0,213184.2,750.0,640.0,375.0,323.0,/body[2]/div[4]/div[1]/div[1]/div[1]/div[2],/body[2]/div[4]/div[1]/div[1]/div[1]/div[2],/body[2]/div[4]/div[1]/div[1]/div[1]/div[2],0.4,35.0,35.0,762.0,762.0,0.0,0.0,899.0,899.0,1.0,1.0,-webkit-standard,-webkit-standard,1
http://wwatana.be/mobile/mobile/201602/04/1.html,96.0,DIV,0.0,19.0,'iOS 12.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/96.png,results/motog4/96.png,35.0,35.0,1171.0,1173.0,62.0,98.0,337.0,323.0,35.0,35.0,934.0,936.0,3000083.0,857395.8,750.0,1080.0,375.0,360.0,/body[2]/div[5]/div[1]/div[1]/div[1]/div[2],/body[2]/div[5]/div[1]/div[1]/div[1]/div[2],/body[2]/div[5]/div[1]/div[1]/div[1]/div[2],0.5,35.0,35.0,1132.0,1134.0,0.0,0.0,1269.0,1271.0,1.0,1.0,-webkit-standard,'Times New Roman',1
http://wwatana.be/mobile/mobile/201602/04/1.html,96.0,DIV,0.0,19.0,'iOS 12.1 - Safari -- iOS - iPhone 8','iOS 12.1 - Safari -- iOS - iPhoneSE',null,null,2.0,2.0,results/iphone8/96.png,results/iphonese/96.png,35.0,35.0,1171.0,1171.0,62.0,98.0,337.0,287.0,35.0,35.0,934.0,934.0,3014408.0,148296.4,750.0,640.0,375.0,323.0,/body[2]/div[5]/div[1]/div[1]/div[1]/div[2],/body[2]/div[5]/div[1]/div[1]/div[1]/div[2],/body[2]/div[5]/div[1]/div[1]/div[1]/div[2],0.4,35.0,35.0,1132.0,1132.0,0.0,0.0,1269.0,1269.0,1.0,1.0,-webkit-standard,-webkit-standard,1
http://wwatana.be/mobile/mobile/201602/09/1.html,3.0,IMG,0.0,0.0,'iOS 12.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,results/iphone8/3.png,results/motog4/3.png,52.0,45.0,16.0,16.0,270.0,16.0,270.0,270.0,18.0,18.0,16.0,16.0,1789950.0,64960.9,750.0,1080.0,375.0,360.0,/body[2]/header[1]/div[1]/a[1]/img[1],/body[2]/header[1]/div[1]/a[1]/img[1],/body[2]/header[1]/div[1]/a[1]/img[1],0.4,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,0.0,0.0,sans-serif,sans-serif,1
http://wwatana.be/mobile/mobile/201602/09/1.html,35.0,LI,2.0,43.0,'iOS 12.1 - Safari -- iOS - iPhone 8','iOS 12.1 - Safari -- iOS - iPhoneSE',null,null,2.0,2.0,null,null,218.0,61.0,589.0,638.0,49.0,49.0,75.0,75.0,15.0,12.0,575.0,575.0,0.0,0.0,750.0,640.0,375.0,320.0,/body[2]/section[3]/ul[2]/li[3],/body[2]/section[3]/ul[2]/li[3],/body[2]/section[3]/ul[2]/li[3],0.0,129.0,148.0,589.0,589.0,131.0,151.0,638.0,638.0,2.0,2.0,sans-serif,sans-serif,1
http://wwatana.be/mobile/mobile/201602/09/1.html,36.0,A,1.0,25.0,'iOS 12.1 - Safari -- iOS - iPhone 8','iOS 12.1 - Safari -- iOS - iPhoneSE',null,null,2.0,2.0,null,null,218.0,61.0,618.0,667.0,20.0,20.0,75.0,75.0,218.0,61.0,589.0,638.0,0.0,0.0,750.0,640.0,375.0,320.0,/body[2]/section[3]/ul[2]/li[3]/a[1],/body[2]/section[3]/ul[2]/li[3]/a[1],/body[2]/section[3]/ul[2]/li[3]/a[1],0.0,129.0,148.0,589.0,589.0,131.0,151.0,638.0,638.0,0.0,0.0,sans-serif,sans-serif,1
http://wwatana.be/mobile/mobile/201602/09/1.html,37.0,IMG,0.0,0.0,'iOS 12.1 - Safari -- iOS - iPhone 8','iOS 12.1 - Safari -- iOS - iPhoneSE',null,null,2.0,2.0,results/iphone8/37.png,results/iphonese/37.png,218.0,61.0,589.0,638.0,45.0,45.0,75.0,75.0,218.0,61.0,618.0,667.0,109955.0,3339.9,750.0,640.0,375.0,320.0,/body[2]/section[3]/ul[2]/li[3]/a[1]/img[1],/body[2]/section[3]/ul[2]/li[3]/a[1]/img[1],/body[2]/section[3]/ul[2]/li[3]/a[1]/img[1],1.0,129.0,148.0,589.0,589.0,131.0,151.0,638.0,638.0,0.0,0.0,sans-serif,sans-serif,1
http://wwatana.be/mobile/mobile/201602/09/1.html,44.0,SELECT,1.0,46.0,'iOS 12.1 - Safari -- iOS - iPhone 8','Android null - Chrome -- Android - MotoG4',null,null,2.0,3.0,null,null,39.0,38.0,799.0,799.0,40.0,40.0,270.0,259.0,19.0,18.0,779.0,779.0,0.0,0.0,750.0,1080.0,375.0,360.0,/body[2]/section[4]/div[2]/select[1],/body[2]/section[4]/div[2]/select[1],/body[2]/section[4]/div[2]/select[1],0.0,39.0,38.0,746.0,747.0,39.0,38.0,859.0,859.0,2.0,2.0,Helvetica,Arial,1
http://wwatana.be/mobile/mobile/201602/13/1.html,57.0,H2,0.0,22.0,'iOS 12.1 - Safari -- iOS - iPhone 8','iOS 12.1 - Safari -- iOS - iPhone 8 Plus',null,null,2.0,3.0,results/iphone8/57.png,results/iphone8plus/57.png,0.0,0.0,835.0,835.0,90.0,45.0,375.0,414.0,0.0,0.0,610.0,610.0,2636377.0,28433.5,750.0,1242.0,375.0,414.0,/body[2]/div[4]/div[1]/h2[2],/body[2]/div[4]/div[1]/h2[2],/body[2]/div[4]/div[1]/h2[2],1.0,144.0,163.0,724.0,724.0,0.0,0.0,956.0,911.0,1.0,1.0,sans-serif,sans-serif,1
